    Subject           Activity Average.Time.Mean.BodyAccel.X Average.Time.Mean.BodyAccel.Y
134      23   WALKING_UPSTAIRS                     0.2499952                  -0.032384403
135      23 WALKING_DOWNSTAIRS                     0.2898974                  -0.016211146
136      23            SITTING                     0.2733513                  -0.013394502
137      23           STANDING                     0.2778993                  -0.017747555
138      23             LAYING                     0.2740380                  -0.021655384
139      24            WALKING                     0.2769808                  -0.022544640
140      24   WALKING_UPSTAIRS                     0.2698811                  -0.025197943
141      24 WALKING_DOWNSTAIRS                     0.2886312                  -0.014573035
142      24            SITTING                     0.2734757                  -0.013125510
143      24           STANDING                     0.2803489                  -0.014478534
144      24             LAYING                     0.2728505                  -0.017355521
145      25            WALKING                     0.2789928                  -0.018647762
146      25   WALKING_UPSTAIRS                     0.2779954                  -0.026986352
147      25 WALKING_DOWNSTAIRS                     0.2913297                  -0.021017052
148      25            SITTING                     0.2785415                  -0.014769681
149      25           STANDING                     0.2780137                  -0.016356973
150      25             LAYING                     0.2507918                  -0.018894366
151      26            WALKING                     0.2792644                  -0.015425959
152      26   WALKING_UPSTAIRS                     0.2726914                  -0.028163380
153      26 WALKING_DOWNSTAIRS                     0.2792846                  -0.012625810
154      26            SITTING                     0.2582435                  -0.007133645
155      26           STANDING                     0.2811270                  -0.016660831
156      26             LAYING                     0.2716459                  -0.019189573
157      27            WALKING                     0.2768495                  -0.016647878
158      27   WALKING_UPSTAIRS                     0.2657703                  -0.020095332
159      27 WALKING_DOWNSTAIRS                     0.2975442                  -0.013556447
160      27            SITTING                     0.2739413                  -0.015526980
161      27           STANDING                     0.2795669                  -0.016593236
162      27             LAYING                     0.2741025                  -0.017986761
163      28            WALKING                     0.2812282                  -0.015675972
164      28   WALKING_UPSTAIRS                     0.2620058                  -0.027944394
165      28 WALKING_DOWNSTAIRS                     0.2936421                  -0.022023047
166      28            SITTING                     0.2769776                  -0.018540444
167      28           STANDING                     0.2777951                  -0.017263512
168      28             LAYING                     0.2759135                  -0.016753786
169      29            WALKING                     0.2719999                  -0.016291560
170      29   WALKING_UPSTAIRS                     0.2654231                  -0.029946531
171      29 WALKING_DOWNSTAIRS                     0.2931404                  -0.014941215
172      29            SITTING                     0.2771800                  -0.016630680
173      29           STANDING                     0.2779651                  -0.017260587
174      29             LAYING                     0.2872952                  -0.017196548
175      30            WALKING                     0.2764068                  -0.017588039
176      30   WALKING_UPSTAIRS                     0.2714156                  -0.025331170
177      30 WALKING_DOWNSTAIRS                     0.2831906                  -0.017438390
178      30            SITTING                     0.2683361                  -0.008047313
179      30           STANDING                     0.2771127                  -0.017016389
180      30             LAYING                     0.2810339                  -0.019449410
    Average.Time.Mean.BodyAccel.Z Average.Time.StdDev.BodyAccel.X
1                     -0.11114810                    -0.283740259
2                     -0.09730200                    -0.354708025
3                     -0.10756619                     0.030035338
4                     -0.10454418                    -0.977229008
5                     -0.11060182                    -0.995759902
6                     -0.11320355                    -0.928056469
7                     -0.10550036                    -0.423642838
8                     -0.15251390                    -0.304376406
9                     -0.11681294                     0.046366681
10                    -0.10921827                    -0.986822280
11                    -0.10590854                    -0.987271889
12                    -0.10724561                    -0.974059465
13                    -0.11267486                    -0.360356726
14                    -0.11006486                    -0.313123438
15                    -0.11613984                    -0.057410048
16                    -0.09835792                    -0.971010121
17                    -0.10162172                    -0.966742543
18                    -0.10130048                    -0.982776639
19                    -0.11140306                    -0.440829971
20                    -0.11421946                    -0.204933043
21                    -0.10677752                     0.011193550
22                    -0.10587460                    -0.980309931
23                    -0.09615749                    -0.976920580
24                    -0.11068815                    -0.954193739
25                    -0.10774178                    -0.294098534
26                    -0.10747145                    -0.045723778
27                    -0.10031993                     0.275046110
28                    -0.10854030                    -0.980945022
29                    -0.10217110                    -0.968591816
30                    -0.10793760                    -0.965934510
31                    -0.11030317                    -0.296538717
32                    -0.12208244                    -0.050135019
33                    -0.10720936                     0.383681640
34                    -0.11012773                    -0.980164934
35                    -0.11217283                    -0.981758160
36                    -0.13311957                    -0.934049422
37                    -0.11091223                    -0.327243241
38                    -0.14376969                    -0.294872974
39                    -0.09693831                     0.066081560
40                    -0.12246460                    -0.972668375
41                    -0.09977783                    -0.979307570
42                    -0.10136104                    -0.936513610
43                    -0.10725209                    -0.173605736
44                    -0.11512212                    -0.171712175
45                    -0.10759814                     0.024139347
46                    -0.10446105                    -0.979026152
47                    -0.10611500                    -0.988815418
48                    -0.10224537                    -0.943041215
49                    -0.11082051                    -0.238353563
50                    -0.12521900                    -0.361444378
51                    -0.09102788                     0.213392271
52                    -0.07537847                    -0.957227791
53                    -0.09527475                    -0.975741252
54                    -0.10754972                    -0.942333090
55                    -0.10905751                    -0.178709734
56                    -0.11818042                    -0.161591924
57                    -0.11084860                     0.295733548
58                    -0.10425324                    -0.982901826
59                    -0.10796408                    -0.978403482
60                    -0.11716864                    -0.968283685
61                    -0.10609630                    -0.422842072
62                    -0.10679722                    -0.238802959
63                    -0.11107015                     0.142456557
64                    -0.11284022                    -0.982796562
65                    -0.10868663                    -0.994978879
66                    -0.10878658                    -0.984777330
67                    -0.10316111                    -0.128898533
68                    -0.10733973                    -0.290149192
69                    -0.10955593                     0.042408492
70                    -0.10630723                    -0.982568782
71                    -0.10552700                    -0.981243992
72                    -0.10816013                    -0.955318680
73                    -0.11143146                    -0.346980394
74                    -0.12576727                    -0.296284597
75                    -0.10199394                    -0.068156363
76                    -0.09724651                    -0.989546275
77                    -0.11212414                    -0.991020759
78                    -0.10433186                    -0.968891989
79                    -0.10675637                    -0.402639098
80                    -0.11227969                    -0.309396718
81                    -0.09283302                     0.017831340
82                    -0.10040149                    -0.976302248
83                    -0.10381770                    -0.973268905
84                    -0.08683333                    -0.917501887
85                    -0.10762182                    -0.327961801
86                    -0.11695246                    -0.026097184
87                    -0.11052607                     0.406471051
88                    -0.11366125                    -0.987084356
89                    -0.10591083                    -0.988949247
90                    -0.11853024                    -0.972255552
91                    -0.10880405                    -0.404692524
92                    -0.12407452                    -0.397083832
93                    -0.11987371                     0.207251998
94                    -0.08914040                    -0.986825605
95                    -0.10365773                    -0.989076812
96                    -0.10731049                    -0.973691429
97                    -0.10979212                    -0.319500173
98                    -0.12129044                    -0.062952754
99                    -0.08924327                     0.187719760
100                   -0.11362409                    -0.994443905
101                   -0.11143215                    -0.991163920
102                   -0.10700628                    -0.972960567
103                   -0.10421832                    -0.376005521
104                   -0.11265589                    -0.380168287
105                   -0.10339081                    -0.302634565
106                   -0.11190478                    -0.994347989
107                   -0.10845336                    -0.992019763
108                   -0.10769893                    -0.984527649
109                   -0.12273667                    -0.048904941
110                   -0.15105461                    -0.128742095
111                   -0.13369524                     0.626917071
112                   -0.10870765                    -0.976357663
113                   -0.10904190                    -0.989910997
114                   -0.10898146                    -0.965019580
115                   -0.11353948                    -0.208342792
116                   -0.12102395                    -0.116088676
117                   -0.10460293                     0.074509879
118                   -0.10836963                    -0.983081859
119                   -0.10040276                    -0.967209961
120                   -0.10427432                    -0.962249115
121                   -0.10431933                    -0.297814844
122                   -0.12541427                    -0.240808282
123                   -0.09816866                     0.224343492
124                   -0.11205789                    -0.991777287
125                   -0.11041786                    -0.981419961
126                   -0.10325383                    -0.955019866
127                   -0.10711251                    -0.008659219
128                   -0.11755086                     0.083573864
129                   -0.10741578                     0.348618168
130                   -0.10582737                    -0.978466824
131                   -0.10496742                    -0.985000527
132                   -0.11080092                    -0.947735252
133                   -0.11338299                    -0.313521773
134                   -0.12689062                    -0.243887819
135                   -0.09881237                     0.044139284
136                   -0.10380868                    -0.987607637
137                   -0.11059702                    -0.985421520
138                   -0.10425678                    -0.956756363
139                   -0.11059595                    -0.470762366
140                   -0.11424861                    -0.344399351
141                   -0.10481882                    -0.082732481
142                   -0.10304106                    -0.990593767
143                   -0.10822255                    -0.987255871
144                   -0.10723624                    -0.967984021
145                   -0.10873764                    -0.596007444
146                   -0.12621044                    -0.459775646
147                   -0.10719238                    -0.253756934
148                   -0.10916044                    -0.991892829
149                   -0.10735296                    -0.991970127
150                   -0.10042883                    -0.909116474
151                   -0.10892701                    -0.340185528
152                   -0.12194346                    -0.169006952
153                   -0.10643962                     0.173953850
154                   -0.09744487                    -0.979768988
155                   -0.11023780                    -0.993069369
156                   -0.10500254                    -0.969445445
157                   -0.11282229                    -0.348475561
158                   -0.12353044                    -0.295439547
159                   -0.11283769                     0.167407531
160                   -0.10552191                    -0.988580108
161                   -0.10783582                    -0.991951584
162                   -0.10769973                    -0.978455153
163                   -0.10371471                    -0.293003522
164                   -0.12151403                    -0.242062430
165                   -0.10858897                     0.125712888
166                   -0.11151794                    -0.983272807
167                   -0.10657939                    -0.977748639
168                   -0.10834485                    -0.968888295
169                   -0.10663243                    -0.174337940
170                   -0.11800059                    -0.086771557
171                   -0.09813400                     0.167383602
172                   -0.11041182                    -0.990745020
173                   -0.10865907                    -0.996068635
174                   -0.10946207                    -0.984219556
175                   -0.09862471                    -0.346394275
176                   -0.12469749                    -0.350504475
177                   -0.09997814                    -0.057770316
178                   -0.09951545                    -0.983622744
179                   -0.10875621                    -0.977559427
180                   -0.10365815                    -0.976362515
    Average.Time.StdDev.BodyAccel.Y Average.Time.StdDev.BodyAccel.Z
1                       0.114461337                     -0.26002790
2                      -0.002320265                     -0.01947924
3                      -0.031935943                     -0.23043421
4                      -0.922618642                     -0.93958629
5                      -0.973190056                     -0.97977588
6                      -0.836827406                     -0.82606140
7                      -0.078091253                     -0.42525752
8                       0.108027280                     -0.11212102
9                       0.262881789                     -0.10283791
10                     -0.950704499                     -0.95982817
11                     -0.957304989                     -0.94974185
12                     -0.980277399                     -0.98423330
13                     -0.069914065                     -0.38741199
14                      0.011628081                     -0.36975460
15                     -0.033150372                     -0.36224025
16                     -0.856617812                     -0.87511018
17                     -0.893449307                     -0.91141902
18                     -0.962057545                     -0.96369103
19                     -0.078826737                     -0.58625281
20                     -0.066689911                     -0.37213778
21                     -0.218598325                     -0.47918598
22                     -0.890223981                     -0.93220301
23                     -0.861597379                     -0.89688054
24                     -0.941714042                     -0.96266731
25                      0.076748403                     -0.45702144
26                      0.185022459                     -0.30893898
27                      0.090763076                     -0.32589144
28                     -0.904335121                     -0.92609474
29                     -0.869439913                     -0.86932732
30                     -0.969295613                     -0.96856252
31                      0.164213885                     -0.50432421
32                      0.189276117                     -0.35351951
33                      0.360164959                     -0.32020423
34                     -0.923682131                     -0.92579710
35                     -0.921493192                     -0.92569237
36                     -0.924644826                     -0.92521610
37                     -0.077261856                      0.15963128
38                     -0.326160023                     -0.14566503
39                     -0.138179073                     -0.06364024
40                     -0.909454699                     -0.85653294
41                     -0.923400922                     -0.91706417
42                     -0.926262669                     -0.95297837
43                      0.380782053                     -0.14208853
44                      0.348768733                      0.12118728
45                      0.343826273                      0.13371704
46                     -0.927331997                     -0.93955303
47                     -0.938479429                     -0.92606526
48                     -0.934891160                     -0.93249145
49                     -0.201696961                     -0.05796365
50                     -0.302206204                     -0.25343408
51                     -0.208310706                     -0.00771530
52                     -0.875141405                     -0.83200187
53                     -0.938635759                     -0.91929581
54                     -0.916292776                     -0.94070729
55                     -0.022743165                     -0.39564507
56                     -0.005552877                     -0.07387449
57                      0.004079154                     -0.18355756
58                     -0.917979530                     -0.96782698
59                     -0.919561843                     -0.94127144
60                     -0.946454302                     -0.95947149
61                     -0.052212075                     -0.53062631
62                     -0.103167502                     -0.20336940
63                      0.070812273                     -0.32402694
64                     -0.921402118                     -0.96837018
65                     -0.964173332                     -0.98638271
66                     -0.972196874                     -0.97131118
67                     -0.122783290                     -0.41060606
68                     -0.103818260                     -0.43669743
69                      0.110835344                     -0.42501741
70                     -0.928581240                     -0.93966189
71                     -0.923140254                     -0.92068480
72                     -0.949072009                     -0.94833384
73                      0.141866689                     -0.22050354
74                      0.104470774                     -0.21721057
75                     -0.032125247                     -0.15833315
76                     -0.938967742                     -0.93864122
77                     -0.949422439                     -0.96753803
78                     -0.950947950                     -0.95039300
79                     -0.053612669                      0.05188410
80                      0.307195533                      0.60901788
81                      0.378870492                      0.45157608
82                     -0.914935704                     -0.92277484
83                     -0.928525725                     -0.92227631
84                     -0.909697041                     -0.90033192
85                      0.138912924                     -0.51893263
86                     -0.004065360                     -0.37971749
87                      0.186532377                     -0.28198218
88                     -0.922407163                     -0.94933803
89                     -0.931900148                     -0.95167026
90                     -0.962759422                     -0.92958684
91                     -0.314569762                     -0.15979979
92                     -0.163732745                     -0.12928383
93                     -0.146993838                      0.01143539
94                     -0.951607872                     -0.93967225
95                     -0.960298268                     -0.95346896
96                     -0.943061150                     -0.96549028
97                     -0.017579789                     -0.26582449
98                     -0.013172101                     -0.23022095
99                     -0.060789204                     -0.23106416
100                    -0.961858630                     -0.96572920
101                    -0.968176664                     -0.97046268
102                    -0.944792875                     -0.95347670
103                    -0.227005875                     -0.42834806
104                    -0.211155120                     -0.31437339
105                    -0.254214046                     -0.41861013
106                    -0.974928131                     -0.97757272
107                    -0.954223436                     -0.96187391
108                    -0.986160921                     -0.98765866
109                     0.181801561                     -0.13947794
110                     0.176349923                     -0.19046855
111                     0.514816446                      0.04932245
112                    -0.950388944                     -0.95192962
113                    -0.944430271                     -0.95259965
114                    -0.973449969                     -0.98467284
115                     0.489771809                     -0.22873422
116                     0.152196328                     -0.22924946
117                     0.616937015                     -0.16093854
118                    -0.936122705                     -0.92910640
119                    -0.875410411                     -0.91314248
120                    -0.964098180                     -0.97257200
121                     0.054088051                     -0.16868873
122                     0.109787469                     -0.21970793
123                     0.301336400                     -0.07178936
124                    -0.966877561                     -0.95956786
125                    -0.943601625                     -0.94612341
126                    -0.956959422                     -0.94565379
127                     0.100384246                     -0.21335197
128                     0.250067524                     -0.10961322
129                     0.239812251                     -0.32572272
130                    -0.928059134                     -0.91756485
131                    -0.922693288                     -0.94220166
132                    -0.913276302                     -0.94294581
133                    -0.119020587                      0.16422069
134                     0.044843579                      0.10080119
135                     0.108259034                      0.22989874
136                    -0.934933559                     -0.90558439
137                    -0.958444492                     -0.92940975
138                    -0.976309827                     -0.97322350
139                    -0.154127498                     -0.28884002
140                    -0.116804489                     -0.25560101
141                    -0.102607327                     -0.20556638
142                    -0.956255962                     -0.95705611
143                    -0.936871974                     -0.93028353
144                    -0.983126462                     -0.97356696
145                    -0.161852412                     -0.43713340
146                    -0.223086809                     -0.29652398
147                    -0.140540604                     -0.45797238
148                    -0.947457617                     -0.96513955
149                    -0.954569226                     -0.96464269
150                    -0.691770681                     -0.71726200
151                    -0.136351392                     -0.33348650
152                    -0.049172630                     -0.40459694
153                    -0.011629910                     -0.28480768
154                    -0.940798966                     -0.95000441
155                    -0.949466155                     -0.96298840
156                    -0.983231352                     -0.98450001
157                    -0.187301215                     -0.29731827
158                    -0.095010408                     -0.23070788
159                    -0.097971003                     -0.24004078
160                    -0.971579126                     -0.96585874
161                    -0.955171419                     -0.96240844
162                    -0.983736044                     -0.98663700
163                    -0.117886186                     -0.30092840
164                    -0.146753877                     -0.28598691
165                     0.156496647                     -0.34103181
166                    -0.939905245                     -0.93666725
167                    -0.875689217                     -0.90512382
168                    -0.945386780                     -0.95645034
169                    -0.091754061                     -0.24282804
170                    -0.122128288                      0.09954435
171                    -0.122463467                     -0.22317800
172                    -0.963222498                     -0.96806388
173                    -0.969295721                     -0.98020749
174                    -0.990240947                     -0.98725515
175                    -0.173550022                     -0.12047678
176                    -0.127311158                      0.02494680
177                    -0.027262808                     -0.21727569
178                    -0.937857001                     -0.95065404
179                    -0.891654527                     -0.91285060
180                    -0.954201824                     -0.96704424
    Average.Time.Mean.GravityAccel.X Average.Time.Mean.GravityAccel.Y
1                          0.9352232                     -0.282165021
2                          0.8933511                     -0.362153364
3                          0.9318744                     -0.266610339
4                          0.8315099                      0.204411593
5                          0.9429520                     -0.272983832
6                         -0.2488818                      0.705549773
7                          0.9130173                     -0.346607090
8                          0.7907174                     -0.416214890
9                          0.8618313                     -0.325780101
10                         0.9404773                     -0.105630024
11                         0.8969286                     -0.370062697
12                        -0.5097542                      0.752536639
13                         0.9365067                     -0.261986358
14                         0.8835334                     -0.382851154
15                         0.9390578                     -0.228829214
16                         0.9010990                      0.127303379
17                         0.9350308                     -0.301735130
18                        -0.2417585                      0.837032100
19                         0.9639997                     -0.085854027
20                         0.9462643                     -0.232944305
21                         0.9477319                     -0.062085277
22                         0.8693030                      0.211622540
23                         0.9561978                     -0.075900906
24                        -0.4206647                      0.915165104
25                         0.9726250                     -0.100440285
26                         0.9368218                     -0.265942569
27                         0.9566494                     -0.060757832
28                         0.8807314                      0.168445524
29                         0.9601887                     -0.038710127
30                        -0.4834706                      0.954890346
31                         0.9580675                     -0.214694852
32                         0.9136322                     -0.340732609
33                         0.9285315                     -0.214046334
34                         0.9336929                      0.068262866
35                         0.9451390                     -0.230251036
36                        -0.4767099                      0.956593814
37                         0.9325665                     -0.159097004
38                         0.8187466                     -0.240950944
39                         0.9306236                     -0.129871673
40                         0.9691478                      0.006088466
41                         0.9587287                     -0.117607049
42                        -0.5028143                      0.393444278
43                         0.9135863                     -0.217102195
44                         0.8603687                     -0.291341492
45                         0.9140235                     -0.187610243
46                         0.8324539                      0.240095117
47                         0.9576699                     -0.090460349
48                        -0.4059300                      0.589922435
49                         0.9518671                     -0.031434174
50                         0.9026478                     -0.037794782
51                         0.9384178                     -0.035230465
52                         0.9163245                     -0.041425823
53                         0.9613235                     -0.010383816
54                        -0.5802528                     -0.119154196
55                         0.9630921                     -0.083827701
56                         0.9318610                     -0.056567028
57                         0.9398074                     -0.064616077
58                         0.7918872                     -0.041260775
59                         0.9540088                     -0.043159783
60                        -0.4530697                     -0.139297681
61                         0.9464685                     -0.212045870
